Job title,Company name,Locations name,Skills,links
.Net Full Stack Developer,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · .Net · HTML · JavaScript · jQuery · AJAX · Microsoft SQL Server · ASP.Net Web API,/jobs/p/QpPiSJmukMkp-Net-Full-Stack-Developer-Cairo-Egypt?o=25&l=sp&t=sj&a=html|search-v3|navbg
Web Development Team leader - PHP,shop4build -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · E-Commerce · PHP · MySQL · Agile · Information Technology (IT) · Computer Science · Software · CSS,/jobs/p/3Nkf2amtvf7d-Web-Development-Team-leader---PHP-shop4build-Cairo-Egypt?o=26&l=sp&t=sj&a=html|search-v3|navbg
Full Stack Developer,Paymint -,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · back-end · HTML5 · PHP · Software Development · CSS · JavaScript · DevOps · Information Technology (IT),/jobs/p/PPTyC61x9NPl-Full-Stack-Developer-Paymint-Cairo-Egypt?o=27&l=sp&t=sj&a=html|search-v3|navbg
Automation Testing Engineer.,Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Computer Science · Engineering · Information Technology (IT) · Software Testing · SQL · Testing,/jobs/p/6TctgCjc0JZA-Automation-Testing-Engineer-Fawry-for-Banking-Technology-and-Electronic-Payments-S-A-E-Giza-Egypt?o=28&l=sp&t=sj&a=html|search-v3|navbg
Front-End Team Lead,Youxel -,"Cairo, Egypt ",Full TimeManager · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Information Technology (IT) · Front-End Lead · Typescript · Angular · javaScript · jQuery,/jobs/p/Vv9dHNtK4mp0-Front-End-Team-Lead-Youxel-Cairo-Egypt?o=29&l=sp&t=sj&a=html|search-v3|navbg
Software Team Leader – PHP,CrossWorkers -,"New Cairo, Cairo, Egypt ",Full TimeManager · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · MySQL · HTML · MVC · Design Patterns · HTML5 · CSS · Laravel,/jobs/p/XM9PuvzFOJSX-Software-Team-Leader-–-PHP-CrossWorkers-Cairo-Egypt?o=30&l=sp&t=sj&a=html|search-v3|navbg
.Net Developer,Arabian Advanced Systems -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Sharepoint · .Net · MVC · Information Technology (IT) · Computer Science · HTML · CSS · ASP.Net,/jobs/p/U4czjvnahvoG-Net-Developer-Arabian-Advanced-Systems-Cairo-Egypt?o=31&l=sp&t=sj&a=html|search-v3|navbg
Odoo Developer,Isky Development -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · jQuery · Odoo · Python · Programming · PostgreSQL · XML,/jobs/p/4ygIWsQANgvp-Odoo-Developer-Isky-Development-Giza-Egypt?o=32&l=sp&t=sj&a=html|search-v3|navbg
React Native Developer,Ejada  -,"Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React Native · AngularJS · Vue.js · HTML5 · CSS · JavaScript · MVC Architecture · REST,/jobs/p/hpY9lD4SpLkb-React-Native-Developer-Ejada-Cairo-Cairo-Egypt?o=33&l=sp&t=sj&a=html|search-v3|navbg
Full Stack Development Team Leader,Salamtak Group -,"Giza, Egypt ",Full TimeManager · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · ASP.Net · CSS · HTML · JavaScript · Software Development · SQL · Git,/jobs/p/Wn6mAtfQMnLj-Full-Stack-Development-Team-Leader-Salamtak-Group-Giza-Egypt?o=34&l=sp&t=sj&a=html|search-v3|navbg
